"lat","lon","text"
"48.53798784334733","9.049518423658956","Baden-Württemberg<br>Population: 10075500"
"48.94917269695629","11.418027577497131","Bayern<br>Population: 12542000"
"52.95","13.2","Brandenburg<br>Population: 2500000"
"52.502299698009296","13.402948501480669","Berlin<br>Population: 3469000"
"52.765431393186596","9.161108235507873","Niedersachsen<br>Population: 7914000"
"53.54610462404504","10.024470557873288","Hamburg<br>Population: 1788000"
"50.60321670836851","9.028805533680368","Hessen<br>Population: 6066000"
"53.7535394556047","12.549970296944396","Mecklenburg-Vorpommern<br>Population: 1639000"
"53.19920119721645","8.74885429375113","Bremen<br>Population: 661000"
"51.47995445845961","7.562839874438013","Nordrhein-Westfalen<br>Population: 17837000"
"49.91548638774605","7.447768558468357","Rheinland-Pfalz<br>Population: 4052803"
"49.38363449476495","6.955542369514458","Saarland<br>Population: 1018000"
"51.05032936763161","13.347113513341009","Sachsen<br>Population: 4143000"
"52.01060815844672","11.701732969476758","Sachsen-Anhalt<br>Population: 2331000"
"54.182325455715194","9.813437574822748","Schleswig-Holstein<br>Population: 2833000"
"50.90389419311208","11.023180940292486","Thüringen<br>Population: 2231000"
