Bundesland,Fälle,time
Baden-Württemberg,14,20200229172202
Bayern,15,20200229172202
Hessen,3,20200229172202
Nordrhein-Westfalen,30,20200229172202
Rheinland-Pfalz,1,20200229172202
Schleswig Holstein,1,20200229172202
Repatriierte,2,20200229172202
Gesamt,66,20200229172202
