Bundesland,Fälle,Besonders betroffene Gebiete in Deutschland,time
Baden-Württemberg,96,,20200306191524
Bayern,117,,20200306191524
Berlin,19,,20200306191524
Brandenburg,2,,20200306191524
Bremen,4,,20200306191524
Hamburg,11,,20200306191524
Hessen,16,,20200306191524
Mecklenburg-Vorpommern,5,,20200306191524
Niedersachsen,18,,20200306191524
Nordrhein-Westfalen,329,Landkreis Heinsberg,20200306191524
Rheinland-Pfalz,10,,20200306191524
Saarland,2,,20200306191524
Sachsen,2,,20200306191524
Schleswig Holstein,7,,20200306191524
Thüringen,1,,20200306191524
Gesamt,639,,20200306191524
