Bundesland,Fälle,time
Baden-Württemberg,50,20200304170930
Bayern,48,20200304170930
Berlin,7,20200304170930
Brandenburg,1,20200304170930
Bremen,3,20200304170930
Hamburg,3,20200304170930
Hessen,12,20200304170930
Mecklenburg-Vorpommern,4,20200304170930
Niedersachsen,7,20200304170930
Nordrhein-Westfalen,115,20200304170930
Rheinland-Pfalz,7,20200304170930
Saarland,1,20200304170930
Sachsen,1,20200304170930
Schleswig Holstein,2,20200304170930
Thüringen,1,20200304170930
Gesamt,262,20200304170930
