Bundesland,Fälle,time
Baden-Württemberg,19,20200302144925
Bayern,25,20200302144925
Berlin,1,20200302144925
Bremen,1,20200302144925
Hamburg,1,20200302144925
Hessen,10,20200302144925
Niedersachsen,1,20200302144925
Nordrhein-Westfalen,86,20200302144925
Rheinland-Pfalz,2,20200302144925
Schleswig Holstein,2,20200302144925
Repatriierte,2,20200302144925
Gesamt,150,20200302144925
