Bundesland,Fälle,time
Baden-Württemberg,15,20200301152116
Bayern,23,20200301152116
Bremen,1,20200301152116
Hamburg,1,20200301152116
Hessen,8,20200301152116
Niedersachsen,1,20200301152116
Nordrhein-Westfalen,74,20200301152116
Rheinland-Pfalz,2,20200301152116
Schleswig Holstein,2,20200301152116
Repatriierte,2,20200301152116
Gesamt,129,20200301152116
