Bundesland,Fälle,time
Baden-Württemberg,15,20200301144546
Bayern,19,20200301144546
Bremen,1,20200301144546
Hamburg,1,20200301144546
Hessen,8,20200301144546
Niedersachsen,1,20200301144546
Nordrhein-Westfalen,66,20200301144546
Rheinland-Pfalz,2,20200301144546
Schleswig Holstein,2,20200301144546
Repatriierte,2,20200301144546
Gesamt,117,20200301144546
