Bundesland,Fälle,Besonders betroffene Gebiete in Deutschland,time
Baden-Württemberg,116,,20200307123116
Bayern,117,,20200307123116
Berlin,24,,20200307123116
Brandenburg,2,,20200307123116
Bremen,4,,20200307123116
Hamburg,12,,20200307123116
Hessen,16,,20200307123116
Mecklenburg-Vorpommern,5,,20200307123116
Niedersachsen,19,,20200307123116
Nordrhein-Westfalen,346,Landkreis Heinsberg,20200307123116
Rheinland-Pfalz,10,,20200307123116
Saarland,2,,20200307123116
Sachsen,2,,20200307123116
Schleswig Holstein,8,,20200307123116
Thüringen,1,,20200307123116
Gesamt,684,,20200307123116
