Bundesland,Fälle,time
Baden-Württemberg,26,20200303125028
Bayern,35,20200303125028
Berlin,3,20200303125028
Brandenburg,1,20200303125028
Bremen,1,20200303125028
Hamburg,2,20200303125028
Hessen,10,20200303125028
Niedersachsen,1,20200303125028
Nordrhein-Westfalen,101,20200303125028
Rheinland-Pfalz,2,20200303125028
Sachsen,1,20200303125028
Schleswig Holstein,2,20200303125028
Thüringen,1,20200303125028
Repatriierte,2,20200303125028
Gesamt,188,20200303125028
